vend,reqhdr_id,reqdate,placedate,reqtype,po,dlvdate,vendoraccountid,confirmation,totalamount,numitems,totalquantity,invoiceid,originalreq,tlc,receive_date,ivctotalamt,rcvtotalamt,rcvtotalqty,multisitestatus,parmvalue,dept,create_firstname,create_middlename,create_lastname,create_suffix,order_firstname,order_middlename,order_lastname,order_suffix,reqstatus,eventstatus,approval_code,rcv_document,rcv_tlc,rcv_firstname,rcv_middlename,rcv_lastname,rcv_suffix,rcv_pers_internalid,invc_invoice,invc_tlc,
Northwind Traders,1001,1/1/2026,1/2/2026,Standard,PO1001,1/5/2026,VA101,CONF1,1,1,1,INV2001,,1/10/2026,1/15/2026 00:00:00,112.50,112.50,1,N,,Facilities,John,,Smith,,John,,Smith,,Closed,Received,APR1,DOC,TLC301,John,,Smith,,4001,INVC5001,ITLC601,
Globex Distribution,1002,1/1/2026,1/2/2026,Standard,PO1002,1/5/2026,VA102,CONF2,1,1,1,INV2002,,1/5/2026,1/20/2026 00:00:00,124.50,124.50,1,N,,Finance,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR2,DOC,TLC302,Maria,,Garcia,,4002,INVC5002,ITLC602,
Initech Hardware,1003,1/1/2026,1/2/2026,Standard,PO1003,1/5/2026,VA103,CONF3,1,1,1,INV2003,,1/8/2026,1/28/2026 00:00:00,136.50,136.50,1,N,,IT,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR3,DOC,TLC303,Wei,,Chen,,4003,INVC5003,ITLC603,
Acme Supply Co,1004,1/1/2026,1/2/2026,Standard,PO1004,1/5/2026,VA104,CONF4,1,1,1,INV2004,,3/3/2026,3/12/2026 00:00:00,148.50,148.50,1,N,,Facilities,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR4,DOC,TLC304,Jane,,Doe,,4004,INVC5004,ITLC604,
Northwind Traders,1005,1/1/2026,1/2/2026,Standard,PO1005,1/5/2026,VA105,CONF5,1,1,1,INV2005,,3/7/2026,3/22/2026 00:00:00,160.50,160.50,1,N,,Finance,John,,Smith,,John,,Smith,,Closed,Received,APR5,DOC,TLC305,John,,Smith,,4005,INVC5005,ITLC605,
Globex Distribution,1006,1/1/2026,1/2/2026,Standard,PO1006,1/5/2026,VA106,CONF6,1,1,1,INV2006,,3/15/2026,3/25/2026 00:00:00,172.50,172.50,1,N,,IT,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR6,DOC,TLC306,Maria,,Garcia,,4006,INVC5006,ITLC606,
Initech Hardware,1007,1/1/2026,1/2/2026,Standard,PO1007,1/5/2026,VA107,CONF7,1,1,1,INV2007,,1/12/2026,1/18/2026 00:00:00,263.25,263.25,1,N,,Facilities,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR7,DOC,TLC307,Wei,,Chen,,4007,INVC5007,ITLC607,
Acme Supply Co,1008,1/1/2026,1/2/2026,Standard,PO1008,1/5/2026,VA108,CONF8,1,1,1,INV2008,,1/20/2026,1/25/2026 00:00:00,272.25,272.25,1,N,,Finance,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR8,DOC,TLC308,Jane,,Doe,,4008,INVC5008,ITLC608,
Northwind Traders,1009,1/1/2026,1/2/2026,Standard,PO1009,1/5/2026,VA109,CONF9,1,1,1,INV2009,,3/2/2026,3/9/2026 00:00:00,281.25,281.25,1,N,,IT,John,,Smith,,John,,Smith,,Closed,Received,APR9,DOC,TLC309,John,,Smith,,4009,INVC5009,ITLC609,
Globex Distribution,1010,1/1/2026,1/2/2026,Standard,PO1010,1/5/2026,VA110,CONF10,1,1,1,INV2010,,3/18/2026,3/29/2026 00:00:00,290.25,290.25,1,N,,Facilities,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR10,DOC,TLC310,Maria,,Garcia,,4010,INVC5010,ITLC610,
Initech Hardware,1011,1/1/2026,1/2/2026,Standard,PO1011,1/5/2026,VA111,CONF11,1,1,1,INV2011,,1/25/2026,2/3/2026 00:00:00,215.75,215.75,1,N,,Finance,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR11,DOC,TLC311,Wei,,Chen,,4011,INVC5011,ITLC611,
Acme Supply Co,1012,1/1/2026,1/2/2026,Standard,PO1012,1/5/2026,VA112,CONF12,1,1,1,INV2012,,1/28/2026,2/5/2026 00:00:00,230.75,230.75,1,N,,IT,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR12,DOC,TLC312,Jane,,Doe,,4012,INVC5012,ITLC612,
Northwind Traders,1013,1/1/2026,1/2/2026,Standard,PO1013,1/5/2026,VA113,CONF13,1,1,1,INV2013,,2/20/2026,3/1/2026 00:00:00,245.75,245.75,1,N,,Facilities,John,,Smith,,John,,Smith,,Closed,Received,APR13,DOC,TLC313,John,,Smith,,4013,INVC5013,ITLC613,
Globex Distribution,1014,1/1/2026,1/2/2026,Standard,PO1014,1/5/2026,VA114,CONF14,1,1,1,INV2014,,2/25/2026,3/4/2026 00:00:00,260.75,260.75,1,N,,Finance,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR14,DOC,TLC314,Maria,,Garcia,,4014,INVC5014,ITLC614,
Initech Hardware,1015,1/1/2026,1/2/2026,Standard,PO1015,1/5/2026,VA115,CONF15,1,1,1,INV2015,,3/26/2026,4/2/2026 00:00:00,275.75,275.75,1,N,,IT,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR15,DOC,TLC315,Wei,,Chen,,4015,INVC5015,ITLC615,
Acme Supply Co,1016,1/1/2026,1/2/2026,Standard,PO1016,1/5/2026,VA116,CONF16,1,1,1,INV2016,,3/29/2026,4/6/2026 00:00:00,290.75,290.75,1,N,,Facilities,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR16,DOC,TLC316,Jane,,Doe,,4016,INVC5016,ITLC616,
Northwind Traders,1017,1/1/2026,1/2/2026,Standard,PO1017,1/5/2026,VA117,CONF17,1,1,1,INV2017,,3/30/2026,4/8/2026 00:00:00,305.75,305.75,1,N,,Finance,John,,Smith,,John,,Smith,,Closed,Received,APR17,DOC,TLC317,John,,Smith,,4017,INVC5017,ITLC617,
Globex Distribution,1018,1/1/2026,1/2/2026,Standard,PO1018,1/5/2026,VA118,CONF18,1,1,1,INV2018,,2/27/2026,3/6/2026 00:00:00,320.75,320.75,1,N,,IT,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR18,DOC,TLC318,Maria,,Garcia,,4018,INVC5018,ITLC618,
Initech Hardware,1019,1/1/2026,1/2/2026,Standard,PO1019,1/5/2026,VA119,CONF19,1,1,1,INV2019,,1/29/2026,2/8/2026 00:00:00,335.75,335.75,1,N,,Facilities,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR19,DOC,TLC319,Wei,,Chen,,4019,INVC5019,ITLC619,
Acme Supply Co,1020,1/1/2026,1/2/2026,Standard,PO1020,1/5/2026,VA120,CONF20,1,1,1,INV2020,,2/22/2026,3/2/2026 00:00:00,350.75,350.75,1,N,,Finance,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR20,DOC,TLC320,Jane,,Doe,,4020,INVC5020,ITLC620,
Northwind Traders,1021,1/1/2026,1/2/2026,Standard,PO1021,1/5/2026,VA121,CONF21,1,1,1,INV2021,,1/14/2026,1/14/2026 00:00:00,405.00,405.00,1,N,,IT,John,,Smith,,John,,Smith,,Closed,Received,APR21,DOC,TLC321,John,,Smith,,4021,INVC5021,ITLC621,
Globex Distribution,1022,1/1/2026,1/2/2026,Standard,PO1022,1/5/2026,VA122,CONF22,1,1,1,INV2022,,2/11/2026,2/11/2026 00:00:00,410.00,410.00,1,N,,Facilities,Maria,,Garcia,,Maria,,Garcia,,Closed,Received,APR22,DOC,TLC322,Maria,,Garcia,,4022,INVC5022,ITLC622,
Initech Hardware,1023,1/1/2026,1/2/2026,Standard,PO1023,1/5/2026,VA123,CONF23,1,1,1,INV2023,,3/19/2026,3/19/2026 00:00:00,415.00,415.00,1,N,,Finance,Wei,,Chen,,Wei,,Chen,,Closed,Received,APR23,DOC,TLC323,Wei,,Chen,,4023,INVC5023,ITLC623,
Acme Supply Co,1024,1/1/2026,1/2/2026,Standard,PO1024,1/5/2026,VA124,CONF24,1,1,1,INV2024,,4/4/2026,4/4/2026 00:00:00,420.00,420.00,1,N,,IT,Jane,,Doe,,Jane,,Doe,,Closed,Received,APR24,DOC,TLC324,Jane,,Doe,,4024,INVC5024,ITLC624,
Northwind Traders,1025,1/1/2026,1/2/2026,Standard,PO1025,1/5/2026,VA9XX,CONF25,1,1,1,INV2025,,1/16/2026,1/21/2026 00:00:00,150.00,150.00,1,N,,Facilities,John,,Smith,,John,,Smith,,Closed,Received,APR25,DOC,TLC325,John,,Smith,,4025,INVC5025,ITLC625,
